Experiment ID,Regime Type,Regime,Days,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Like,Average Daily Return,Win Rate
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,actual_overall,actual_all_days,1585,125.38%,13.79%,15.54%,0.888,0.0561%,39.87%
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,actual_volatility_regime,high_volatility,577,13.12%,5.53%,13.04%,0.424,0.0247%,26.00%
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,actual_volatility_regime,low_volatility,737,54.52%,16.04%,16.06%,0.999,0.0642%,50.47%
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,actual_trend_regime,downtrend,309,3.15%,2.56%,9.53%,0.269,0.0119%,7.77%
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,actual_trend_regime,uptrend,1005,69.45%,14.14%,16.09%,0.879,0.0576%,49.55%
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,actual_combined_regime,high_volatility_downtrend,248,0.27%,0.27%,4.37%,0.062,0.0015%,2.82%
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,actual_combined_regime,high_volatility_uptrend,329,12.82%,9.68%,16.86%,0.574,0.0423%,43.47%
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,actual_combined_regime,low_volatility_downtrend,61,2.88%,12.43%,19.67%,0.632,0.0541%,27.87%
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,actual_combined_regime,low_volatility_uptrend,676,50.20%,16.37%,15.72%,1.042,0.0651%,52.51%
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,comparison,synthetic_all_days,1585,139.09%,14.87%,15.54%,0.957,0.0598%,39.05%
EXP-009_QQQ_DAILY_MOMENTUM_EXPLICIT_MOO_BASELINE,comparison,qqq_all_days,1585,219.19%,20.27%,24.97%,0.812,0.0856%,56.03%
