Experiment ID,Strategy,Regime Type,Regime,Days,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Like,Average Daily Return,Win Rate,Signal Days,Signal Rate
EXP-014_QQQ_ORB_5M_REGIME_BASELINE,Corrected Five-Bar ORB,overall,all_days,1587,54.04%,7.10%,15.54%,0.457,0.0320%,45.24%,1305,82.18%
EXP-014_QQQ_ORB_5M_REGIME_BASELINE,Corrected Five-Bar ORB,volatility_regime,high_volatility,578,45.14%,17.63%,18.08%,0.975,0.0709%,45.33%,470,81.31%
EXP-014_QQQ_ORB_5M_REGIME_BASELINE,Corrected Five-Bar ORB,volatility_regime,low_volatility,737,7.76%,2.59%,12.16%,0.213,0.0131%,43.69%,599,81.28%
EXP-014_QQQ_ORB_5M_REGIME_BASELINE,Corrected Five-Bar ORB,trend_regime,downtrend,309,41.44%,32.67%,23.09%,1.415,0.1227%,44.01%,244,78.96%
EXP-014_QQQ_ORB_5M_REGIME_BASELINE,Corrected Five-Bar ORB,trend_regime,uptrend,1006,10.58%,2.55%,11.50%,0.222,0.0126%,44.53%,825,82.01%
EXP-014_QQQ_ORB_5M_REGIME_BASELINE,Corrected Five-Bar ORB,combined_regime,high_volatility_downtrend,248,39.76%,40.51%,23.61%,1.716,0.1459%,44.76%,,
EXP-014_QQQ_ORB_5M_REGIME_BASELINE,Corrected Five-Bar ORB,combined_regime,high_volatility_uptrend,330,3.85%,2.93%,12.37%,0.237,0.0145%,45.76%,,
EXP-014_QQQ_ORB_5M_REGIME_BASELINE,Corrected Five-Bar ORB,combined_regime,low_volatility_downtrend,61,1.20%,5.06%,20.96%,0.241,0.0281%,40.98%,,
EXP-014_QQQ_ORB_5M_REGIME_BASELINE,Corrected Five-Bar ORB,combined_regime,low_volatility_uptrend,676,6.48%,2.37%,11.06%,0.214,0.0117%,43.93%,,
EXP-014_QQQ_ORB_5M_REGIME_BASELINE,QQQ Underlying,overall,all_days,1586,219.36%,20.26%,24.96%,0.812,0.0856%,56.05%,,
